Row Labels,Sum of How many cups of coffee do you typically drink per day?,,,,
<18 years old,33,,,,
>65 years old,219,,,,
18-24 years old,772,,,,
25-34 years old,3458,,,Row Labels,Count of Where do you typically drink coffee? (At home)
35-44 years old,1831,,,FALSE,337
45-54 years old,625,,,TRUE,3705
55-64 years old,422,,,Grand Total,4042
Grand Total,7360,,,,
,,,,,
,,,,,
Row Labels,Count of Where do you typically drink coffee?,,,,
At a cafe,75,,,,
At a café,6,,,,
"At a cafe, At home",85,,,,
"At a cafe, At home, At the office",16,,,,
"At a cafe, At home, At the office, On the go",6,,,,
"At a cafe, At home, On the go",18,,,,
"At a cafe, At home, On the go, At the office",6,,,,
"At a cafe, At the office",5,,,,
"At a cafe, At the office, At home",18,,,,
"At a cafe, At the office, At home, On the go",5,,,,
"At a cafe, At the office, On the go",1,,,,
"At a cafe, At the office, On the go, At home",4,,,,
"At a cafe, On the go",1,,,,
"At a cafe, On the go, At home",6,,,,
"At a cafe, On the go, At home, At the office",4,,,,
"At a cafe, On the go, At the office",1,,,,
At home,1639,,,,
"At home, At a cafe",424,,,,
"At home, At a cafe, At the office",50,,,,
"At home, At a cafe, At the office, On the go",8,,,,
"At home, At a cafe, On the go",39,,,,
"At home, At a cafe, On the go, At the office",20,,,,
"At home, At the office",416,,,,
"At home, At the office, At a cafe",81,,,,
"At home, At the office, At a cafe, On the go",22,,,,
"At home, At the office, On the go",46,,,,
"At home, At the office, On the go, At a cafe",23,,,,
"At home, None of these",1,,,,
"At home, On the go",123,,,,
"At home, On the go, At a cafe",34,,,,
"At home, On the go, At a cafe, At the office",14,,,,
"At home, On the go, At the office",44,,,,
"At home, On the go, At the office, At a cafe",17,,,,
At the office,142,,,,
"At the office, At a cafe",11,,,,
"At the office, At a cafe, At home",19,,,,
"At the office, At a cafe, At home, On the go",8,,,,
"At the office, At a cafe, On the go",3,,,,
"At the office, At a cafe, On the go, At home",8,,,,
"At the office, At home",236,,,,
"At the office, At home, At a cafe",61,,,,
"At the office, At home, At a cafe, On the go",13,,,,
"At the office, At home, On the go",32,,,,
"At the office, At home, On the go, At a cafe",12,,,,
"At the office, On the go",11,,,,
"At the office, On the go, At a cafe",3,,,,
"At the office, On the go, At a cafe, At home",4,,,,
"At the office, On the go, At home",16,,,,
"At the office, On the go, At home, At a cafe",13,,,,
None of these,35,,,,
"None of these, At a cafe",1,,,,
On the go,32,,,,
"On the go, At a cafe",7,,,,
"On the go, At a cafe, At home",7,,,,
"On the go, At a cafe, At home, At the office",8,,,,
"On the go, At a cafe, At the office",1,,,,
"On the go, At a cafe, At the office, At home",2,,,,
"On the go, At home",34,,,,
"On the go, At home, At a cafe",16,,,,
"On the go, At home, At a cafe, At the office",5,,,,
"On the go, At home, At the office",11,,,,
"On the go, At home, At the office, At a cafe",7,,,,
"On the go, At the office",7,,,,
"On the go, At the office, At a cafe, At home",4,,,,
"On the go, At the office, At home",14,,,,
"On the go, At the office, At home, At a cafe",1,,,,
Grand Total,4042,,,,
